Merge_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,DARE_TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TA_Lambda10_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D05_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD,TIES_D07_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD
clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:
"precision: 0.9146 ± 0.0084 [0.9259259259259259, 0.9122807017543859, 0.9056603773584906]","precision: 0.9455 ± 0.0135 [0.9615384615384616, 0.9285714285714286, 0.9464285714285714]","precision: 0.9181 ± 0.0204 [0.9454545454545454, 0.9122807017543859, 0.896551724137931]","precision: 0.8828 ± 0.0313 [0.9137931034482759, 0.8947368421052632, 0.84]","precision: 0.8927 ± 0.0067 [0.896551724137931, 0.8983050847457628, 0.8833333333333333]","precision: 0.8995 ± 0.0130 [0.9166666666666666, 0.8852459016393442, 0.896551724137931]","precision: 0.9023 ± 0.0293 [0.9137931034482759, 0.8620689655172413, 0.9310344827586207]"
"recall: 0.7692 ± 0.0251 [0.7692307692307693, 0.8, 0.7384615384615385]","recall: 0.7949 ± 0.0192 [0.7692307692307693, 0.8, 0.8153846153846154]","recall: 0.8000 ± 0.0000 [0.8, 0.8, 0.8]","recall: 0.7487 ± 0.0736 [0.8153846153846154, 0.7846153846153846, 0.6461538461538462]","recall: 0.8103 ± 0.0073 [0.8, 0.8153846153846154, 0.8153846153846154]","recall: 0.8256 ± 0.0192 [0.8461538461538461, 0.8307692307692308, 0.8]","recall: 0.8051 ± 0.0261 [0.8153846153846154, 0.7692307692307693, 0.8307692307692308]"
"f1: 0.8355 ± 0.0163 [0.8403361344537815, 0.8524590163934426, 0.8135593220338984]","f1: 0.8634 ± 0.0091 [0.8547008547008547, 0.859504132231405, 0.8760330578512396]","f1: 0.8549 ± 0.0088 [0.8666666666666667, 0.8524590163934426, 0.8455284552845529]","f1: 0.8094 ± 0.0568 [0.8617886178861789, 0.8360655737704918, 0.7304347826086957]","f1: 0.8495 ± 0.0039 [0.8455284552845529, 0.8548387096774194, 0.848]","f1: 0.8609 ± 0.0143 [0.88, 0.8571428571428571, 0.8455284552845529]","f1: 0.8509 ± 0.0276 [0.8617886178861789, 0.8130081300813008, 0.8780487804878049]"
"accuracy: 0.9959 ± 0.0004 [0.9960350584307178, 0.9962437395659433, 0.9954090150250418]","accuracy: 0.9966 ± 0.0002 [0.9964524207011686, 0.9964524207011686, 0.9968697829716193]","accuracy: 0.9963 ± 0.0003 [0.996661101836394, 0.9962437395659433, 0.9960350584307178]","accuracy: 0.9953 ± 0.0013 [0.9964524207011686, 0.9958263772954925, 0.9935308848080133]","accuracy: 0.9961 ± 0.0001 [0.9960350584307178, 0.9962437395659433, 0.9960350584307178]","accuracy: 0.9964 ± 0.0004 [0.9968697829716193, 0.9962437395659433, 0.9960350584307178]","accuracy: 0.9962 ± 0.0007 [0.9964524207011686, 0.9952003338898163, 0.9968697829716193]"
"map: 0.5066 ± 0.0095 [0.5192230377227859, 0.4961805154396473, 0.5044200742608773]","map: 0.5027 ± 0.0067 [0.4939829597112621, 0.5103478276773731, 0.5038155167891152]","map: 0.5036 ± 0.0134 [0.5170014472965463, 0.4852948230478609, 0.5083848102831474]","map: 0.5032 ± 0.0059 [0.5050416373168743, 0.5093279569144517, 0.4952342817802124]","map: 0.4861 ± 0.0037 [0.4909029037599718, 0.4855535464612035, 0.4818238897383536]","map: 0.4925 ± 0.0113 [0.5012558636955281, 0.4765695925227957, 0.4996539095618112]","map: 0.4981 ± 0.0034 [0.5028297097157582, 0.4954016558115749, 0.49593774347477937]"
"map@5: 0.4300 ± 0.0121 [0.4436577311577311, 0.4142288267288267, 0.4321192696192696]","map@5: 0.4316 ± 0.0082 [0.42122183372183375, 0.44115190365190365, 0.43229409479409475]","map@5: 0.4269 ± 0.0118 [0.44173465423465424, 0.4128885003885004, 0.4260586635586635]","map@5: 0.4257 ± 0.0045 [0.42897241647241646, 0.4289141414141414, 0.4192987567987568]","map@5: 0.4100 ± 0.0025 [0.4135295260295261, 0.4085761460761461, 0.4077602952602953]","map@5: 0.4205 ± 0.0085 [0.43054584304584304, 0.40968337218337214, 0.42122183372183375]","map@5: 0.4277 ± 0.0042 [0.4321192696192696, 0.42215423465423463, 0.42897241647241646]"
"map@10: 0.4918 ± 0.0091 [0.5046048087714754, 0.48398684648684653, 0.48678637334887337]","map@10: 0.4880 ± 0.0119 [0.4713909354534354, 0.4990051615051615, 0.49345931845931845]","map@10: 0.4895 ± 0.0119 [0.5017676767676768, 0.4733488733488734, 0.49352561019227686]","map@10: 0.4864 ± 0.0113 [0.49067182817182814, 0.49756493506493504, 0.4708142590434257]","map@10: 0.4738 ± 0.0020 [0.4722083472083472, 0.47663833080499746, 0.47267871017871016]","map@10: 0.4793 ± 0.0116 [0.49219777136443804, 0.4640886890886891, 0.48156257322923995]","map@10: 0.4862 ± 0.0049 [0.4918664668664669, 0.47998154623154626, 0.4868256743256743]"
"ndcg: 0.5175 ± 0.0041 [0.5191713273532504, 0.5215329201048537, 0.511820439519478]","ndcg: 0.5135 ± 0.0020 [0.5156310464357716, 0.514064531165415, 0.5109304296996214]","ndcg: 0.5091 ± 0.0079 [0.5201886958959955, 0.5041047595363529, 0.5029903044350004]","ndcg: 0.5092 ± 0.0048 [0.5117453332661327, 0.5024413528436678, 0.5134600490375785]","ndcg: 0.4996 ± 0.0062 [0.5080874324574434, 0.4936572113617718, 0.4969738612344577]","ndcg: 0.4997 ± 0.0083 [0.4987872532021075, 0.49002685741653246, 0.5102424954167487]","ndcg: 0.5090 ± 0.0036 [0.5127440319544871, 0.5102749524937469, 0.5041025672996999]"
