CMB_MARK_CX,CMB_MARK_WX_SYN_CX,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD
clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:
"precision: 0.9147 ± 0.0216 [0.9285714285714286, 0.9444444444444444, 0.896551724137931, 0.8666666666666667, 0.9122807017543859, 0.9298245614035088, 0.9122807017543859, 0.9285714285714286, 0.9298245614035088, 0.8983050847457628]","precision: 0.9313 ± 0.0298 [0.9473684210526315, 0.9473684210526315, 0.9622641509433962, 0.9245283018867925, 0.9310344827586207, 0.9122807017543859, 0.8666666666666667, 0.9285714285714286, 0.9807692307692307, 0.9122807017543859]","precision: 0.8963 ± 0.0572 [0.9333333333333333, 0.9272727272727272, 0.9, 0.9464285714285714, 0.9636363636363636, 0.7777777777777778, 0.8125, 0.864406779661017, 0.9285714285714286, 0.9090909090909091]","precision: 0.9142 ± 0.0317 [0.9310344827586207, 0.9607843137254902, 0.8727272727272727, 0.9298245614035088, 0.8695652173913043, 0.8909090909090909, 0.9454545454545454, 0.9137931034482759, 0.8813559322033898, 0.9464285714285714]"
"recall: 0.8031 ± 0.0092 [0.8, 0.7846153846153846, 0.8, 0.8, 0.8, 0.8153846153846154, 0.8, 0.8, 0.8153846153846154, 0.8153846153846154]","recall: 0.8015 ± 0.0233 [0.8307692307692308, 0.8307692307692308, 0.7846153846153846, 0.7538461538461538, 0.8307692307692308, 0.8, 0.8, 0.8, 0.7846153846153846, 0.8]","recall: 0.7800 ± 0.0496 [0.6461538461538462, 0.7846153846153846, 0.8307692307692308, 0.8153846153846154, 0.8153846153846154, 0.7538461538461538, 0.8, 0.7846153846153846, 0.8, 0.7692307692307693]","recall: 0.7431 ± 0.1482 [0.8307692307692308, 0.7538461538461538, 0.7384615384615385, 0.8153846153846154, 0.3076923076923077, 0.7538461538461538, 0.8, 0.8153846153846154, 0.8, 0.8153846153846154]"
"f1: 0.8551 ± 0.0103 [0.859504132231405, 0.8571428571428571, 0.8455284552845529, 0.832, 0.8524590163934426, 0.8688524590163934, 0.8524590163934426, 0.859504132231405, 0.8688524590163934, 0.8548387096774194]","f1: 0.8612 ± 0.0187 [0.8852459016393442, 0.8852459016393442, 0.864406779661017, 0.8305084745762712, 0.8780487804878049, 0.8524590163934426, 0.832, 0.859504132231405, 0.8717948717948718, 0.8524590163934426]","f1: 0.8324 ± 0.0406 [0.7636363636363637, 0.85, 0.864, 0.8760330578512396, 0.8833333333333333, 0.765625, 0.8062015503875969, 0.8225806451612904, 0.859504132231405, 0.8333333333333334]","f1: 0.8106 ± 0.1212 [0.8780487804878049, 0.8448275862068966, 0.8, 0.8688524590163934, 0.45454545454545453, 0.8166666666666667, 0.8666666666666667, 0.8617886178861789, 0.8387096774193549, 0.8760330578512396]"
"accuracy: 0.9963 ± 0.0003 [0.9964524207011686, 0.9964524207011686, 0.9960350584307178, 0.9956176961602671, 0.9962437395659433, 0.996661101836394, 0.9962437395659433, 0.9964524207011686, 0.996661101836394, 0.9962437395659433]","accuracy: 0.9965 ± 0.0005 [0.9970784641068448, 0.9970784641068448, 0.996661101836394, 0.9958263772954925, 0.9968697829716193, 0.9962437395659433, 0.9956176961602671, 0.9964524207011686, 0.9968697829716193, 0.9962437395659433]","accuracy: 0.9957 ± 0.0010 [0.9945742904841403, 0.9962437395659433, 0.9964524207011686, 0.9968697829716193, 0.9970784641068448, 0.9937395659432388, 0.9947829716193656, 0.9954090150250418, 0.9964524207011686, 0.9958263772954925]","accuracy: 0.9956 ± 0.0020 [0.9968697829716193, 0.9962437395659433, 0.994991652754591, 0.996661101836394, 0.989983305509182, 0.9954090150250418, 0.996661101836394, 0.9964524207011686, 0.9958263772954925, 0.9968697829716193]"
"map: 0.5039 ± 0.0115 [0.5035302749506985, 0.5097419779504055, 0.5127330597160322, 0.5206267805028099, 0.47886914594994623, 0.5064856867169716, 0.4903953364001341, 0.4972411207652461, 0.5114656711757442, 0.5075806552340674]","map: 0.5035 ± 0.0087 [0.5110950014274823, 0.49701799242526473, 0.5104334784890164, 0.496831192522964, 0.505497467273919, 0.5164235130945448, 0.4943964748196192, 0.5002209856096266, 0.513544699748569, 0.48969674319237844]","map: 0.4925 ± 0.0096 [0.49672957926260936, 0.49862881830913647, 0.4795444530028075, 0.4980344458952362, 0.4817906392605256, 0.5049946338572847, 0.5019279589393023, 0.4875816531600605, 0.4769812145769645, 0.4986499309363477]","map: 0.4918 ± 0.0217 [0.48699665760278693, 0.48194073433910106, 0.4947310445549171, 0.5061691988630268, 0.43381554097435043, 0.4879403083192676, 0.5153976727223619, 0.5049648008863462, 0.5028844473074034, 0.5033157056065254]"
"map@5: 0.4304 ± 0.0106 [0.4321192696192696, 0.4366064491064491, 0.44378593628593627, 0.4451262626262626, 0.408529526029526, 0.4340423465423465, 0.42058080808080806, 0.42122183372183375, 0.4340423465423465, 0.42792346542346543]","map@5: 0.4284 ± 0.0106 [0.4289141414141414, 0.42865773115773115, 0.4366064491064491, 0.4164141414141414, 0.4340423465423465, 0.4417346542346542, 0.4193570318570318, 0.4289141414141414, 0.4417346542346542, 0.40729409479409473]","map@5: 0.4199 ± 0.0127 [0.4260586635586635, 0.4269910644910645, 0.4116064491064491, 0.4289491064491064, 0.4128885003885004, 0.4334013209013209, 0.4289141414141414, 0.4105167055167055, 0.39010295260295264, 0.42955516705516705]","map@5: 0.4167 ± 0.0204 [0.41096542346542353, 0.4117346542346543, 0.41529234654234654, 0.42397241647241646, 0.36218337218337215, 0.41481157731157736, 0.44173465423465424, 0.43083721833721833, 0.42897241647241646, 0.42635003885003886]"
"map@10: 0.4910 ± 0.0123 [0.48604975271641937, 0.4959316724941725, 0.49939113355780024, 0.5117385084051751, 0.46418220668220667, 0.489481351981352, 0.4830390096015096, 0.48298090798090804, 0.5010181176847843, 0.49603313353313355]","map@10: 0.4908 ± 0.0114 [0.5003635253635254, 0.4895454545454545, 0.5029215229215229, 0.4778145465645466, 0.4899184149184149, 0.5063697105363771, 0.47789710289710285, 0.48815181731848395, 0.5026223776223776, 0.47230547230547226]","map@10: 0.4783 ± 0.0110 [0.48263542013542016, 0.48313044979711645, 0.46207663863913867, 0.4906485181485181, 0.4725796425796426, 0.48574987897904565, 0.4903196494863161, 0.47870279411946076, 0.455493117993118, 0.4813655788655789]","map@10: 0.4773 ± 0.0221 [0.4731869519369519, 0.46664918414918416, 0.4801581057831058, 0.4898246198246198, 0.4178273809523809, 0.47543678543678547, 0.5026223776223776, 0.49215229215229217, 0.487017982017982, 0.4876651126651127]"
"ndcg: 0.5116 ± 0.0119 [0.5103038762982691, 0.5066495712649094, 0.5185555563672916, 0.5359496340574258, 0.5030166299832526, 0.5219233094275774, 0.48807607954509014, 0.5089355134252551, 0.5139035404419213, 0.5085718446008967]","ndcg: 0.5111 ± 0.0086 [0.5267661285154543, 0.5028624813337651, 0.528390420717253, 0.5101584980254867, 0.5046188965950176, 0.5094596913054742, 0.5099688926469046, 0.5072287268765415, 0.5084534430125054, 0.5033797206658163]","ndcg: 0.5019 ± 0.0071 [0.4989824853338406, 0.49866181186676334, 0.4895249644558176, 0.4963891250622493, 0.49978834754698603, 0.5071557950916342, 0.5172418784449742, 0.5057429235430922, 0.499823222028323, 0.5052554447487139]","ndcg: 0.5021 ± 0.0181 [0.4926411245830404, 0.493733140703154, 0.5098413558414678, 0.5106891818736412, 0.4535792368426757, 0.5053054244094244, 0.5150344098731849, 0.5110617061212536, 0.5095083533314249, 0.5199706381627661]"
"ndcg@5: 0.4764 ± 0.0141 [0.47593336322815843, 0.47326009733303426, 0.480589748803219, 0.5090460140382785, 0.4667762223521957, 0.48517517167602997, 0.4536031495320586, 0.47522589578683644, 0.4814672053327632, 0.4633007202835718]","ndcg@5: 0.4748 ± 0.0117 [0.48732338042086193, 0.4788290155654591, 0.5023201014950508, 0.4669147328258128, 0.47067838041618376, 0.47295899035017197, 0.47069031246781523, 0.46838743987916853, 0.47145762466683966, 0.4580662085866947]","ndcg@5: 0.4639 ± 0.0097 [0.46188651661807045, 0.4651039545557452, 0.45141677760291216, 0.4547262074201344, 0.4650579757119813, 0.4688704713921216, 0.4814905249305997, 0.4693851220505995, 0.4479585580392994, 0.4726649684873382]","ndcg@5: 0.4624 ± 0.0210 [0.45162918849077793, 0.46177216732741994, 0.4708220168871158, 0.4613117634145463, 0.40579048455553984, 0.4750967267864027, 0.48521822943994475, 0.4749358483913078, 0.46203099165129385, 0.4756173636850867]"
