,,,,,,,,,,,,,,,,,,,
CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch5,CMB_MARK_CX_LRD_epoch5,CMB_WX_SYN_ZYDA_CX_epoch5,MB_CX_LAST_epoch5,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch10,CMB_MARK_CX_LRD_epoch10,CMB_WX_SYN_ZYDA_CX_epoch10,MB_CX_LAST_epoch10,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch15,CMB_MARK_CX_LRD_epoch15,CMB_WX_SYN_ZYDA_CX_epoch15,MB_CX_LAST_epoch15,,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD_epoch20,CMB_MARK_CX_LRD_epoch20,CMB_WX_SYN_ZYDA_CX_epoch20,MB_CX_LAST_epoch20,
clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,
"precision: 0.8005 ± 0.0257 [0.803921568627451, 0.8301886792452831, 0.7674418604651163]","precision: 0.8198 ± 0.0304 [0.8620689655172413, 0.8055555555555556, 0.7916666666666666]","precision: 0.8773 ± 0.0736 [0.7741935483870968, 0.9411764705882353, 0.9166666666666666]","precision: 0.8151 ± 0.1556 [0.9772727272727273, 0.8627450980392157, 0.6052631578947368]",,"precision: 0.9344 ± 0.0208 [0.9122807017543859, 0.9285714285714286, 0.9622641509433962]","precision: 0.9185 ± 0.0143 [0.9298245614035088, 0.8983050847457628, 0.9272727272727272]","precision: 0.9345 ± 0.0081 [0.9322033898305084, 0.9259259259259259, 0.9454545454545454]","precision: 0.9454 ± 0.0152 [0.9259259259259259, 0.9629629629629629, 0.9473684210526315]",,"precision: 0.9273 ± 0.0118 [0.9122807017543859, 0.9411764705882353, 0.9285714285714286]","precision: 0.9222 ± 0.0288 [0.9629629629629629, 0.9016393442622951, 0.9019607843137255]","precision: 0.9042 ± 0.0136 [0.8852459016393442, 0.9107142857142857, 0.9166666666666666]","precision: 0.9020 ± 0.0174 [0.8852459016393442, 0.8947368421052632, 0.9259259259259259]",,"precision: 0.9475 ± 0.0238 [0.9642857142857143, 0.9137931034482759, 0.9642857142857143]","precision: 0.9092 ± 0.0075 [0.9166666666666666, 0.9016393442622951]","precision: 0.9081 ± 0.0187 [0.8833333333333333, 0.9285714285714286, 0.9122807017543859]","precision: 0.9231 ± 0.0291 [0.896551724137931, 0.9636363636363636, 0.9090909090909091]",
"recall: 0.6051 ± 0.0714 [0.6307692307692307, 0.676923076923077, 0.5076923076923077]","recall: 0.3744 ± 0.0632 [0.38461538461538464, 0.4461538461538462, 0.2923076923076923]","recall: 0.7179 ± 0.0290 [0.7384615384615385, 0.7384615384615385, 0.676923076923077]","recall: 0.6821 ± 0.0192 [0.6615384615384615, 0.676923076923077, 0.7076923076923077]",,"recall: 0.7949 ± 0.0073 [0.8, 0.8, 0.7846153846153846]","recall: 0.8051 ± 0.0145 [0.8153846153846154, 0.8153846153846154, 0.7846153846153846]","recall: 0.8051 ± 0.0316 [0.8461538461538461, 0.7692307692307693, 0.8]","recall: 0.8000 ± 0.0251 [0.7692307692307693, 0.8, 0.8307692307692308]",,"recall: 0.7795 ± 0.0290 [0.8, 0.7384615384615385, 0.8]","recall: 0.7846 ± 0.0576 [0.8, 0.8461538461538461, 0.7076923076923077]","recall: 0.8205 ± 0.0261 [0.8307692307692308, 0.7846153846153846, 0.8461538461538461]","recall: 0.7949 ± 0.0261 [0.8307692307692308, 0.7846153846153846, 0.7692307692307693]",,"recall: 0.8256 ± 0.0073 [0.8307692307692308, 0.8153846153846154, 0.8307692307692308]","recall: 0.8462 ± 0.0000 [0.8461538461538461, 0.8461538461538461]","recall: 0.8051 ± 0.0073 [0.8153846153846154, 0.8, 0.8]","recall: 0.7436 ± 0.0909 [0.8, 0.8153846153846154, 0.6153846153846154]",
"f1: 0.6879 ± 0.0566 [0.7068965517241379, 0.7457627118644068, 0.6111111111111112]","f1: 0.5110 ± 0.0619 [0.5319148936170213, 0.5742574257425742, 0.42696629213483145]","f1: 0.7874 ± 0.0299 [0.7559055118110236, 0.8275862068965517, 0.7787610619469026]","f1: 0.7334 ± 0.0585 [0.7889908256880734, 0.7586206896551724, 0.6524822695035462]",,"f1: 0.8588 ± 0.0049 [0.8524590163934426, 0.859504132231405, 0.864406779661017]","f1: 0.8579 ± 0.0080 [0.8688524590163934, 0.8548387096774194, 0.85]","f1: 0.8647 ± 0.0191 [0.8870967741935484, 0.8403361344537815, 0.8666666666666667]","f1: 0.8665 ± 0.0191 [0.8403361344537815, 0.8739495798319328, 0.8852459016393442]",,"f1: 0.8465 ± 0.0137 [0.8524590163934426, 0.8275862068965517, 0.859504132231405]","f1: 0.8467 ± 0.0379 [0.8739495798319328, 0.873015873015873, 0.7931034482758621]","f1: 0.8600 ± 0.0153 [0.8571428571428571, 0.8429752066115702, 0.88]","f1: 0.8445 ± 0.0091 [0.8571428571428571, 0.8360655737704918, 0.8403361344537815]",,"f1: 0.8823 ± 0.0145 [0.8925619834710744, 0.8617886178861789, 0.8925619834710744]","f1: 0.8765 ± 0.0035 [0.88, 0.873015873015873]","f1: 0.8533 ± 0.0047 [0.848, 0.859504132231405, 0.8524590163934426]","f1: 0.8209 ± 0.0634 [0.8455284552845529, 0.8833333333333333, 0.7339449541284404]",
"accuracy: 0.9926 ± 0.0010 [0.9929048414023373, 0.9937395659432388, 0.9912353923205343]","accuracy: 0.9904 ± 0.0007 [0.9908180300500835, 0.9910267111853088, 0.9893572621035058]","accuracy: 0.9947 ± 0.0009 [0.9935308848080133, 0.9958263772954925, 0.9947829716193656]","accuracy: 0.9930 ± 0.0024 [0.9952003338898163, 0.9941569282136895, 0.9897746243739566]",,"accuracy: 0.9965 ± 0.0002 [0.9962437395659433, 0.9964524207011686, 0.996661101836394]","accuracy: 0.9964 ± 0.0002 [0.996661101836394, 0.9962437395659433, 0.9962437395659433]","accuracy: 0.9966 ± 0.0004 [0.9970784641068448, 0.9960350584307178, 0.996661101836394]","accuracy: 0.9967 ± 0.0005 [0.9960350584307178, 0.9968697829716193, 0.9970784641068448]",,"accuracy: 0.9962 ± 0.0003 [0.9962437395659433, 0.9958263772954925, 0.9964524207011686]","accuracy: 0.9962 ± 0.0008 [0.9968697829716193, 0.996661101836394, 0.994991652754591]","accuracy: 0.9964 ± 0.0004 [0.9962437395659433, 0.9960350584307178, 0.9968697829716193]","accuracy: 0.9960 ± 0.0002 [0.9962437395659433, 0.9958263772954925, 0.9960350584307178]",,"accuracy: 0.9970 ± 0.0004 [0.9972871452420701, 0.9964524207011686, 0.9972871452420701]","accuracy: 0.9968 ± 0.0001 [0.9968697829716193, 0.996661101836394]","accuracy: 0.9962 ± 0.0002 [0.9960350584307178, 0.9964524207011686, 0.9962437395659433]","accuracy: 0.9957 ± 0.0013 [0.9960350584307178, 0.9970784641068448, 0.9939482470784641]",
"map: 0.4469 ± 0.0266 [0.4546150145669445, 0.47487090883163496, 0.4110946493542318]","map: 0.3899 ± 0.0486 [0.41017347251494585, 0.43654401834545875, 0.3228350092658762]","map: 0.5003 ± 0.0157 [0.4885596885793508, 0.48985754390812397, 0.5223968000175838]","map: 0.4754 ± 0.0195 [0.4923634503889247, 0.4857290834821199, 0.44807787578237546]",,"map: 0.4929 ± 0.0028 [0.49345248725682406, 0.48929452297510195, 0.49601743780073804]","map: 0.4968 ± 0.0107 [0.4888872137609548, 0.48963621636001875, 0.5119531657458741]","map: 0.5136 ± 0.0064 [0.5226638468537318, 0.5082610302500327, 0.5099205403825967]","map: 0.5049 ± 0.0021 [0.5070817752896642, 0.502087911812997, 0.5056258272463146]",,"map: 0.5147 ± 0.0100 [0.5280035071183828, 0.503821182190209, 0.5123273622925686]","map: 0.5076 ± 0.0142 [0.516778874086558, 0.5185666639817149, 0.48753832431952726]","map: 0.5108 ± 0.0069 [0.5157440934496907, 0.5155979160770022, 0.5010394245008165]","map: 0.5008 ± 0.0071 [0.4913436530208433, 0.5082829994903697, 0.5027429373076628]",,"map: 0.5229 ± 0.0010 [0.5238683139602872, 0.5233993340508593, 0.5215014970452636]","map: 0.5180 ± 0.0112 [0.5067709858120206, 0.5291911112846516]","map: 0.5184 ± 0.0101 [0.5276944750651646, 0.5232290085626672, 0.5043844635088497]","map: 0.4957 ± 0.0102 [0.509308201333373, 0.4930318933773903, 0.48466113010977635]",
"map@5: 0.3733 ± 0.0263 [0.38987276612276617, 0.39394910644910647, 0.33616015928515924]","map@5: 0.3251 ± 0.0522 [0.33877282439782436, 0.38102952602952606, 0.2554098679098679]","map@5: 0.4293 ± 0.0197 [0.4224426961926962, 0.40933372183372185, 0.45618686868686875]","map@5: 0.4015 ± 0.0222 [0.42776029526029524, 0.40327311577311575, 0.37346542346542344]",,"map@5: 0.4231 ± 0.0029 [0.4237859362859363, 0.4192987567987568, 0.42635003885003886]","map@5: 0.4206 ± 0.0140 [0.41481157731157736, 0.4071192696192696, 0.4398115773115773]","map@5: 0.4428 ± 0.0092 [0.4532731157731158, 0.43083721833721833, 0.4442987567987568]","map@5: 0.4302 ± 0.0080 [0.44058080808080813, 0.4289141414141414, 0.42122183372183375]",,"map@5: 0.4371 ± 0.0122 [0.4532731157731158, 0.42384421134421135, 0.4340423465423466]","map@5: 0.4286 ± 0.0150 [0.4340423465423466, 0.4436577311577311, 0.40814491064491065]","map@5: 0.4327 ± 0.0071 [0.4406449106449107, 0.4340423465423465, 0.4233197358197358]","map@5: 0.4309 ± 0.0076 [0.42058080808080806, 0.43865773115773116, 0.43352952602952605]",,"map@5: 0.4498 ± 0.0025 [0.44948523698523696, 0.45298174048174045, 0.4468628593628594]","map@5: 0.4396 ± 0.0086 [0.4309654234654235, 0.4482031857031857]","map@5: 0.4420 ± 0.0111 [0.4513500388500388, 0.4482031857031857, 0.42635003885003886]","map@5: 0.4146 ± 0.0136 [0.4316385003885003, 0.4135295260295261, 0.39849456099456104]",
"map@10: 0.4192 ± 0.0319 [0.42566427399760737, 0.454655760905761, 0.3772130878380878]","map@10: 0.3590 ± 0.0500 [0.379912317620651, 0.4070571442446442, 0.28998123404373405]","map@10: 0.4826 ± 0.0192 [0.46326576201576203, 0.4756681898348564, 0.5088050838050838]","map@10: 0.4545 ± 0.0244 [0.47279026529026535, 0.4706876456876457, 0.42002036158286155]",,"map@10: 0.4813 ± 0.0050 [0.48424630924630924, 0.47426292842959505, 0.48527195027195025]","map@10: 0.4809 ± 0.0107 [0.4753496503496504, 0.471441058941059, 0.4958916083916084]","map@10: 0.5027 ± 0.0053 [0.5098873348873348, 0.4973232323232324, 0.5009129759129759]","map@10: 0.4921 ± 0.0017 [0.49121212121212127, 0.4906912531912531, 0.49442723942723943]",,"map@10: 0.5002 ± 0.0117 [0.5142773892773893, 0.48559447882364554, 0.5007877924544591]","map@10: 0.4971 ± 0.0155 [0.5096126096126097, 0.5064471639471639, 0.4752159684451351]","map@10: 0.5010 ± 0.0066 [0.5068163472330139, 0.5043728185394852, 0.4917957042957043]","map@10: 0.4894 ± 0.0059 [0.48126456876456875, 0.4952719502719503, 0.49156371406371413]",,"map@10: 0.5069 ± 0.0034 [0.5073384948384949, 0.5108349983349983, 0.50259324009324]","map@10: 0.5047 ± 0.0086 [0.49612665112665116, 0.5133214008214009]","map@10: 0.5055 ± 0.0101 [0.5139177489177489, 0.5111846486846486, 0.4913433788433788]","map@10: 0.4809 ± 0.0119 [0.4953467365967366, 0.4811052836052836, 0.46628493034743035]",
"ndcg: 0.4815 ± 0.0150 [0.47687391190106515, 0.5017583861400118, 0.46597061803392736]","ndcg: 0.4502 ± 0.0367 [0.4622363578786603, 0.48788612444325286, 0.40034235396652235]","ndcg: 0.5157 ± 0.0081 [0.5144380871503798, 0.5065223106880943, 0.5262481564955012]","ndcg: 0.4992 ± 0.0193 [0.5109778212856482, 0.514555491276004, 0.47203606422872224]",,"ndcg: 0.5009 ± 0.0032 [0.5015299537678768, 0.5044145573736057, 0.49662860765994465]","ndcg: 0.5051 ± 0.0097 [0.4951421226454177, 0.5019174814572911, 0.5181581745297547]","ndcg: 0.5111 ± 0.0047 [0.5057189435295519, 0.5104769196833433, 0.5171467204268925]","ndcg: 0.5137 ± 0.0025 [0.5117539787535781, 0.5172439064104941, 0.5121401731502305]",,"ndcg: 0.5130 ± 0.0064 [0.5219421872858471, 0.5080585022784033, 0.508916227826442]","ndcg: 0.5101 ± 0.0074 [0.5197668405151532, 0.5084750178669339, 0.5019420792701109]","ndcg: 0.5057 ± 0.0044 [0.5119725667365712, 0.5027723105658388, 0.5024469155347013]","ndcg: 0.5030 ± 0.0048 [0.5023198426725093, 0.5091867147148063, 0.4974824181968309]",,"ndcg: 0.5144 ± 0.0051 [0.5211176972982959, 0.5088848212079363, 0.5133207506013856]","ndcg: 0.5050 ± 0.0074 [0.49765846343037407, 0.5123631957639925]","ndcg: 0.5130 ± 0.0073 [0.5230284754440788, 0.5098072045563271, 0.5060292812571894]","ndcg: 0.5067 ± 0.0071 [0.5101682929630281, 0.5131010307639693, 0.4968376399909679]",
