BASE-MODEL,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD,CMB_FWEdu_V2_CX_LRD,CMB_WX_SYN_CX_LRD,CMB_MARK_WX_SYN_CX,CMB_MARK_CX,CMB_WX_SYN_CX,CMB_FWEdu_V2_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX,CMB_MARK_WX_SYN_ZYDA_CX,CMB_WX_SYN_ZYDA_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX_LRD,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD
clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:,clim_retrieve:
"precision: 0.9454 ± 0.0152 [0.9259259259259259, 0.9629629629629629, 0.9473684210526315]","precision: 0.9449 ± 0.0146 [0.9629629629629629, 0.9272727272727272, 0.9444444444444444]","precision: 0.9185 ± 0.0143 [0.9298245614035088, 0.8983050847457628, 0.9272727272727272]","precision: 0.9552 ± 0.0172 [0.9464285714285714, 0.94, 0.9791666666666666]","precision: 0.9310 ± 0.0277 [0.9322033898305084, 0.896551724137931, 0.9642857142857143]","precision: 0.9110 ± 0.0442 [0.9152542372881356, 0.8548387096774194, 0.9629629629629629]","precision: 0.9128 ± 0.0007 [0.9122807017543859, 0.9122807017543859, 0.9137931034482759]","precision: 0.9094 ± 0.0269 [0.9464285714285714, 0.8833333333333333, 0.8983050847457628]","precision: 0.9228 ± 0.0064 [0.9137931034482759, 0.9285714285714286, 0.9259259259259259]","precision: 0.9292 ± 0.0231 [0.9454545454545454, 0.9454545454545454, 0.896551724137931]","precision: 0.9141 ± 0.0299 [0.9423076923076923, 0.8727272727272727, 0.9272727272727272]","precision: 0.9187 ± 0.0198 [0.8983050847457628, 0.9454545454545454, 0.9122807017543859]","precision: 0.9345 ± 0.0081 [0.9322033898305084, 0.9259259259259259, 0.9454545454545454]","precision: 0.9191 ± 0.0160 [0.896551724137931, 0.9310344827586207, 0.9298245614035088]","precision: 0.9344 ± 0.0208 [0.9122807017543859, 0.9285714285714286, 0.9622641509433962]"
"recall: 0.8000 ± 0.0251 [0.7692307692307693, 0.8, 0.8307692307692308]","recall: 0.7897 ± 0.0073 [0.8, 0.7846153846153846, 0.7846153846153846]","recall: 0.8051 ± 0.0145 [0.8153846153846154, 0.8153846153846154, 0.7846153846153846]","recall: 0.7538 ± 0.0435 [0.8153846153846154, 0.7230769230769231, 0.7230769230769231]","recall: 0.8256 ± 0.0192 [0.8461538461538461, 0.8, 0.8307692307692308]","recall: 0.8154 ± 0.0126 [0.8307692307692308, 0.8153846153846154, 0.8]","recall: 0.8051 ± 0.0073 [0.8, 0.8, 0.8153846153846154]","recall: 0.8154 ± 0.0000 [0.8153846153846154, 0.8153846153846154, 0.8153846153846154]","recall: 0.7949 ± 0.0192 [0.8153846153846154, 0.8, 0.7692307692307693]","recall: 0.8000 ± 0.0000 [0.8, 0.8, 0.8]","recall: 0.7590 ± 0.0192 [0.7538461538461538, 0.7384615384615385, 0.7846153846153846]","recall: 0.8051 ± 0.0073 [0.8153846153846154, 0.8, 0.8]","recall: 0.8051 ± 0.0316 [0.8461538461538461, 0.7692307692307693, 0.8]","recall: 0.8154 ± 0.0126 [0.8, 0.8307692307692308, 0.8153846153846154]","recall: 0.7949 ± 0.0073 [0.8, 0.8, 0.7846153846153846]"
"f1: 0.8665 ± 0.0191 [0.8403361344537815, 0.8739495798319328, 0.8852459016393442]","f1: 0.8604 ± 0.0100 [0.8739495798319328, 0.85, 0.8571428571428571]","f1: 0.8579 ± 0.0080 [0.8688524590163934, 0.8548387096774194, 0.85]","f1: 0.8418 ± 0.0249 [0.8760330578512396, 0.8173913043478261, 0.831858407079646]","f1: 0.8751 ± 0.0210 [0.8870967741935484, 0.8455284552845529, 0.8925619834710744]","f1: 0.8599 ± 0.0179 [0.8709677419354839, 0.8346456692913385, 0.8739495798319328]","f1: 0.8556 ± 0.0044 [0.8524590163934426, 0.8524590163934426, 0.8617886178861789]","f1: 0.8596 ± 0.0119 [0.8760330578512396, 0.848, 0.8548387096774194]","f1: 0.8539 ± 0.0096 [0.8617886178861789, 0.859504132231405, 0.8403361344537815]","f1: 0.8596 ± 0.0100 [0.8666666666666667, 0.8666666666666667, 0.8455284552845529]","f1: 0.8292 ± 0.0213 [0.8376068376068376, 0.8, 0.85]","f1: 0.8580 ± 0.0062 [0.8548387096774194, 0.8666666666666667, 0.8524590163934426]","f1: 0.8647 ± 0.0191 [0.8870967741935484, 0.8403361344537815, 0.8666666666666667]","f1: 0.8641 ± 0.0137 [0.8455284552845529, 0.8780487804878049, 0.8688524590163934]","f1: 0.8588 ± 0.0049 [0.8524590163934426, 0.859504132231405, 0.864406779661017]"
"accuracy: 0.9967 ± 0.0005 [0.9960350584307178, 0.9968697829716193, 0.9970784641068448]","accuracy: 0.9965 ± 0.0003 [0.9968697829716193, 0.9962437395659433, 0.9964524207011686]","accuracy: 0.9964 ± 0.0002 [0.996661101836394, 0.9962437395659433, 0.9962437395659433]","accuracy: 0.9962 ± 0.0005 [0.9968697829716193, 0.9956176961602671, 0.9960350584307178]","accuracy: 0.9968 ± 0.0005 [0.9970784641068448, 0.9960350584307178, 0.9972871452420701]","accuracy: 0.9964 ± 0.0005 [0.996661101836394, 0.9956176961602671, 0.9968697829716193]","accuracy: 0.9963 ± 0.0001 [0.9962437395659433, 0.9962437395659433, 0.9964524207011686]","accuracy: 0.9964 ± 0.0004 [0.9968697829716193, 0.9960350584307178, 0.9962437395659433]","accuracy: 0.9963 ± 0.0002 [0.9964524207011686, 0.9964524207011686, 0.9960350584307178]","accuracy: 0.9965 ± 0.0003 [0.996661101836394, 0.996661101836394, 0.9960350584307178]","accuracy: 0.9958 ± 0.0005 [0.9960350584307178, 0.994991652754591, 0.9962437395659433]","accuracy: 0.9964 ± 0.0002 [0.9962437395659433, 0.996661101836394, 0.9962437395659433]","accuracy: 0.9966 ± 0.0004 [0.9970784641068448, 0.9960350584307178, 0.996661101836394]","accuracy: 0.9965 ± 0.0004 [0.9960350584307178, 0.9968697829716193, 0.996661101836394]","accuracy: 0.9965 ± 0.0002 [0.9962437395659433, 0.9964524207011686, 0.996661101836394]"
"map: 0.5049 ± 0.0021 [0.5070817752896642, 0.502087911812997, 0.5056258272463146]","map: 0.4870 ± 0.0099 [0.4949682822979134, 0.4930297462109064, 0.4729914859773351]","map: 0.4968 ± 0.0107 [0.4888872137609548, 0.48963621636001875, 0.5119531657458741]","map: 0.4915 ± 0.0107 [0.47870405227936, 0.4911042488071536, 0.5047883490997213]","map: 0.5172 ± 0.0027 [0.5182649644943078, 0.5134447016874344, 0.519771209033922]","map: 0.5158 ± 0.0140 [0.5015701470246925, 0.5347604514082644, 0.5110160856251473]","map: 0.4974 ± 0.0105 [0.49896442295132676, 0.48373554868631646, 0.5093934247484257]","map: 0.5190 ± 0.0015 [0.5168603116528786, 0.5198280589742326, 0.5202359265675378]","map: 0.5028 ± 0.0085 [0.5109262445373584, 0.5064332125359694, 0.49107728835138886]","map: 0.5164 ± 0.0123 [0.5020690327083647, 0.5319990956574455, 0.5150906929989721]","map: 0.4814 ± 0.0016 [0.4833678753438473, 0.4813876603758278, 0.479455759767046]","map: 0.5062 ± 0.0085 [0.4979224854318839, 0.5179714460717295, 0.5027848645313184]","map: 0.5136 ± 0.0064 [0.5226638468537318, 0.5082610302500327, 0.5099205403825967]","map: 0.5007 ± 0.0035 [0.5012220570288538, 0.49618907443105303, 0.5047863738479393]","map: 0.4929 ± 0.0028 [0.49345248725682406, 0.48929452297510195, 0.49601743780073804]"
"map@5: 0.4302 ± 0.0080 [0.44058080808080813, 0.4289141414141414, 0.42122183372183375]","map@5: 0.4113 ± 0.0098 [0.4192987567987568, 0.4170260295260295, 0.397503885003885]","map@5: 0.4206 ± 0.0140 [0.41481157731157736, 0.4071192696192696, 0.4398115773115773]","map@5: 0.4214 ± 0.0094 [0.4113150738150738, 0.4189491064491065, 0.4340423465423466]","map@5: 0.4499 ± 0.0013 [0.45105866355866353, 0.45048756798756795, 0.44814491064491063]","map@5: 0.4403 ± 0.0219 [0.4170260295260295, 0.4696833721833722, 0.4340423465423465]","map@5: 0.4258 ± 0.0102 [0.42314491064491067, 0.41481157731157736, 0.439461926961927]","map@5: 0.4471 ± 0.0030 [0.44307498057498057, 0.45006798756798755, 0.4482031857031857]","map@5: 0.4261 ± 0.0153 [0.4420843045843046, 0.43054584304584304, 0.405545843045843]","map@5: 0.4435 ± 0.0086 [0.4324106449106449, 0.4532731157731158, 0.44493978243978244]","map@5: 0.4091 ± 0.0019 [0.4071192696192696, 0.40869269619269616, 0.4116064491064491]","map@5: 0.4310 ± 0.0135 [0.41615190365190363, 0.44878593628593627, 0.4279817404817405]","map@5: 0.4428 ± 0.0092 [0.4532731157731158, 0.43083721833721833, 0.4442987567987568]","map@5: 0.4286 ± 0.0044 [0.432503885003885, 0.422503885003885, 0.43083721833721833]","map@5: 0.4231 ± 0.0029 [0.4237859362859363, 0.4192987567987568, 0.42635003885003886]"
"map@10: 0.4921 ± 0.0017 [0.49121212121212127, 0.4906912531912531, 0.49442723942723943]","map@10: 0.4728 ± 0.0080 [0.4807206682206682, 0.47575449242115914, 0.46181041181041177]","map@10: 0.4809 ± 0.0107 [0.4753496503496504, 0.471441058941059, 0.4958916083916084]","map@10: 0.4771 ± 0.0095 [0.4643606393606394, 0.4798365523365523, 0.4872513597513597]","map@10: 0.5066 ± 0.0026 [0.5079028995695662, 0.5030582997249664, 0.508960483960484]","map@10: 0.5029 ± 0.0149 [0.48994338994338993, 0.5237859362859363, 0.4949300699300699]","map@10: 0.4835 ± 0.0095 [0.488151817318484, 0.47022144522144527, 0.4920326586993254]","map@10: 0.5026 ± 0.0026 [0.5003940503940504, 0.5062073728740395, 0.5012487512487512]","map@10: 0.4902 ± 0.0075 [0.49465503632170293, 0.4964071730738397, 0.4796336688003355]","map@10: 0.5061 ± 0.0134 [0.49026390276390275, 0.5229409479409479, 0.5050505050505051]","map@10: 0.4648 ± 0.0019 [0.4654300945967612, 0.4621694971694972, 0.46673573340240004]","map@10: 0.4932 ± 0.0074 [0.4876040626040626, 0.5036266511266512, 0.48824477991144666]","map@10: 0.5027 ± 0.0053 [0.5098873348873348, 0.4973232323232324, 0.5009129759129759]","map@10: 0.4887 ± 0.0038 [0.49072760572760576, 0.4833139083139083, 0.4919369211035878]","map@10: 0.4813 ± 0.0050 [0.48424630924630924, 0.47426292842959505, 0.48527195027195025]"
"ndcg: 0.5137 ± 0.0025 [0.5117539787535781, 0.5172439064104941, 0.5121401731502305]","ndcg: 0.4974 ± 0.0059 [0.4988514107625059, 0.5037267710832857, 0.489520215610552]","ndcg: 0.5051 ± 0.0097 [0.4951421226454177, 0.5019174814572911, 0.5181581745297547]","ndcg: 0.5074 ± 0.0126 [0.4914195542928149, 0.5088501677401382, 0.522075731896009]","ndcg: 0.5110 ± 0.0055 [0.5186077539138556, 0.5090024511756062, 0.5054812445881329]","ndcg: 0.5172 ± 0.0058 [0.510231885264517, 0.5244563497756112, 0.5169608943786085]","ndcg: 0.5033 ± 0.0107 [0.5114704155137234, 0.4882257558962878, 0.5101054260608553]","ndcg: 0.5179 ± 0.0015 [0.5193863448193105, 0.5157712914609551, 0.5184803010568039]","ndcg: 0.5085 ± 0.0034 [0.503898261301576, 0.5097843256797675, 0.5119188588731414]","ndcg: 0.5164 ± 0.0089 [0.5053549671970944, 0.5270405208211303, 0.5169238969941499]","ndcg: 0.4962 ± 0.0053 [0.5032925428827595, 0.49472406853582085, 0.4905683661188159]","ndcg: 0.5105 ± 0.0023 [0.5087090006515866, 0.5090643505861032, 0.513853859103186]","ndcg: 0.5111 ± 0.0047 [0.5057189435295519, 0.5104769196833433, 0.5171467204268925]","ndcg: 0.5075 ± 0.0035 [0.5050589384105617, 0.5049341426463433, 0.5123795954419348]","ndcg: 0.5009 ± 0.0032 [0.5015299537678768, 0.5044145573736057, 0.49662860765994465]"
"ndcg@5: 0.4763 ± 0.0080 [0.48408907000612367, 0.4794870653847507, 0.4651870399917936]","ndcg@5: 0.4498 ± 0.0065 [0.45635847150439746, 0.4520836719571336, 0.44099798499379345]","ndcg@5: 0.4693 ± 0.0096 [0.46044108354575425, 0.4647340877721673, 0.48259253054172496]","ndcg@5: 0.4735 ± 0.0151 [0.45837695073531964, 0.4680537608946412, 0.49413089302346813]","ndcg@5: 0.4745 ± 0.0088 [0.4866943667943581, 0.47071033089331754, 0.4660771513187601]","ndcg@5: 0.4814 ± 0.0116 [0.4684131495370647, 0.4965431061826751, 0.47938426450662913]","ndcg@5: 0.4642 ± 0.0061 [0.4682004319329343, 0.4556482274923309, 0.4688506948993727]","ndcg@5: 0.4822 ± 0.0015 [0.4842281665592502, 0.48103398790935514, 0.48128308769082323]","ndcg@5: 0.4659 ± 0.0023 [0.46284568258909814, 0.46839137806142295, 0.46640810415144596]","ndcg@5: 0.4827 ± 0.0096 [0.4736733348532287, 0.49592999273063987, 0.4785500600555825]","ndcg@5: 0.4626 ± 0.0068 [0.47178400960977795, 0.4554345706318711, 0.46048259971987177]","ndcg@5: 0.4697 ± 0.0064 [0.46097841113389787, 0.47175113649127465, 0.47622569206551013]","ndcg@5: 0.4771 ± 0.0136 [0.47281516521642253, 0.46309752503024626, 0.4954635683416805]","ndcg@5: 0.4721 ± 0.0038 [0.4745934763524292, 0.4666746066023578, 0.47491646979989594]","ndcg@5: 0.4665 ± 0.0047 [0.4671720232191118, 0.4719764404923443, 0.4604319517047486]"
