Merge_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD_epoch10,Merge_CMB_MARK_CX_LRD_CMB_FWEdu_V2_CX_LRD_CMB_WX_SYN_CX_LRD_epoch15
clim_retrieve:,clim_retrieve:
"precision: 0.9146 ± 0.0084 [0.9259259259259259, 0.9122807017543859, 0.9056603773584906]","precision: 0.9190 ± 0.0136 [0.9259259259259259, 0.9310344827586207, 0.9]"
"recall: 0.7692 ± 0.0251 [0.7692307692307693, 0.8, 0.7384615384615385]","recall: 0.8103 ± 0.0290 [0.7692307692307693, 0.8307692307692308, 0.8307692307692308]"
"f1: 0.8355 ± 0.0163 [0.8403361344537815, 0.8524590163934426, 0.8135593220338984]","f1: 0.8608 ± 0.0156 [0.8403361344537815, 0.8780487804878049, 0.864]"
"accuracy: 0.9959 ± 0.0004 [0.9960350584307178, 0.9962437395659433, 0.9954090150250418]","accuracy: 0.9965 ± 0.0003 [0.9960350584307178, 0.9968697829716193, 0.9964524207011686]"
"map: 0.5066 ± 0.0095 [0.5192230377227859, 0.4961805154396473, 0.5044200742608773]","map: 0.5195 ± 0.0053 [0.5192230377227859, 0.5260089111095303, 0.5131506168470641]"
"map@5: 0.4300 ± 0.0121 [0.4436577311577311, 0.4142288267288267, 0.4321192696192696]","map@5: 0.4426 ± 0.0014 [0.4436577311577311, 0.44365773115773116, 0.4406274281274281]"
"map@10: 0.4918 ± 0.0091 [0.5046048087714754, 0.48398684648684653, 0.48678637334887337]","map@10: 0.5072 ± 0.0063 [0.5046048087714754, 0.5158855033855034, 0.5011096927763595]"
"ndcg: 0.5175 ± 0.0041 [0.5191713273532504, 0.5215329201048537, 0.511820439519478]","ndcg: 0.5187 ± 0.0056 [0.5191713273532504, 0.5252904894832893, 0.5116481812984088]"
"ndcg@5: 0.4756 ± 0.0013 [0.47376624009766755, 0.47589998701321967, 0.47700920688711407]","ndcg@5: 0.4783 ± 0.0064 [0.47376624009766755, 0.48740704347392605, 0.47378434164051203]"
"ndcg@10: 0.4999 ± 0.0054 [0.5003966379959759, 0.5062122406043876, 0.4929604814010231]","ndcg@10: 0.5005 ± 0.0065 [0.5003966379959759, 0.508409503103081, 0.4926023320923391]"
,
climate_commitments_actions:,climate_commitments_actions:
"precision: 0.6576 ± 0.0332 [0.6176470588235294, 0.65625, 0.6990291262135923]","precision: 0.6401 ± 0.0164 [0.6176470588235294, 0.65625, 0.6464646464646465]"
"recall: 0.6735 ± 0.0433 [0.6428571428571429, 0.6428571428571429, 0.7346938775510204]","recall: 0.6463 ± 0.0048 [0.6428571428571429, 0.6428571428571429, 0.6530612244897959]"
"f1: 0.6653 ± 0.0370 [0.63, 0.6494845360824743, 0.7164179104477612]","f1: 0.6431 ± 0.0092 [0.63, 0.6494845360824743, 0.649746192893401]"
"accuracy: 0.7927 ± 0.0220 [0.76875, 0.7875, 0.821875]","accuracy: 0.7802 ± 0.0082 [0.76875, 0.7875, 0.784375]"
,
climate_detection:,climate_detection:
"precision: 0.9679 ± 0.0040 [0.9652996845425867, 0.9735973597359736, 0.9648562300319489]","precision: 0.9699 ± 0.0034 [0.9652996845425867, 0.9735973597359736, 0.9707792207792207]"
"recall: 0.9406 ± 0.0142 [0.95625, 0.921875, 0.94375]","recall: 0.9375 ± 0.0142 [0.95625, 0.921875, 0.934375]"
"f1: 0.9540 ± 0.0056 [0.9607535321821036, 0.9470304975922953, 0.9541864139020537]","f1: 0.9533 ± 0.0057 [0.9607535321821036, 0.9470304975922953, 0.9522292993630573]"
"accuracy: 0.9275 ± 0.0082 [0.9375, 0.9175, 0.9275]","accuracy: 0.9267 ± 0.0082 [0.9375, 0.9175, 0.925]"
,
climate_sentiment:,climate_sentiment:
"micro_f1: 0.7854 ± 0.0141 [0.76875, 0.784375, 0.803125]","micro_f1: 0.7708 ± 0.0103 [0.76875, 0.784375, 0.759375]"
"macro_f1: 0.7668 ± 0.0138 [0.7509942883866154, 0.7649435086108342, 0.7845554048694033]","macro_f1: 0.7534 ± 0.0086 [0.7509942883866154, 0.7649435086108342, 0.74430353218232]"
"weighted_f1: 0.7890 ± 0.0142 [0.7717407053034445, 0.7887986122629053, 0.8064840499306518]","weighted_f1: 0.7740 ± 0.0112 [0.7717407053034445, 0.7887986122629053, 0.7615582007627462]"
"accuracy: 0.7854 ± 0.0141 [0.76875, 0.784375, 0.803125]","accuracy: 0.7708 ± 0.0103 [0.76875, 0.784375, 0.759375]"
,
climate_specificity:,climate_specificity:
"precision: 0.8433 ± 0.0168 [0.8666666666666667, 0.8279569892473119, 0.8352941176470589]","precision: 0.8585 ± 0.0224 [0.8666666666666667, 0.8279569892473119, 0.8809523809523809]"
"recall: 0.6125 ± 0.0251 [0.6341463414634146, 0.6260162601626016, 0.5772357723577236]","recall: 0.6206 ± 0.0138 [0.6341463414634146, 0.6260162601626016, 0.6016260162601627]"
"f1: 0.7093 ± 0.0205 [0.7323943661971831, 0.7129629629629629, 0.6826923076923077]","f1: 0.7201 ± 0.0087 [0.7323943661971831, 0.7129629629629629, 0.714975845410628]"
"accuracy: 0.8073 ± 0.0115 [0.821875, 0.80625, 0.79375]","accuracy: 0.8146 ± 0.0064 [0.821875, 0.80625, 0.815625]"
,
environmental_claims:,environmental_claims:
"precision: 0.8300 ± 0.0223 [0.8142857142857143, 0.8142857142857143, 0.8615384615384616]","precision: 0.8143 ± 0.0000 [0.8142857142857143, 0.8142857142857143, 0.8142857142857143]"
"recall: 0.8458 ± 0.0070 [0.8507462686567164, 0.8507462686567164, 0.835820895522388]","recall: 0.8507 ± 0.0000 [0.8507462686567164, 0.8507462686567164, 0.8507462686567164]"
"f1: 0.8376 ± 0.0077 [0.8321167883211679, 0.8321167883211679, 0.8484848484848485]","f1: 0.8321 ± 0.0000 [0.8321167883211679, 0.8321167883211679, 0.8321167883211679]"
"accuracy: 0.9170 ± 0.0053 [0.9132075471698113, 0.9132075471698113, 0.9245283018867925]","accuracy: 0.9132 ± 0.0000 [0.9132075471698113, 0.9132075471698113, 0.9132075471698113]"
,
netzero_reduction:,netzero_reduction:
"micro_f1: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","micro_f1: 0.9923 ± 0.0014 [0.9912917271407837, 0.9912917271407837, 0.9941944847605225]"
"macro_f1: 0.9892 ± 0.0000 [0.9891860465116279, 0.9891860465116279, 0.9891860465116279]","macro_f1: 0.9904 ± 0.0017 [0.9891860465116279, 0.9891860465116279, 0.9927906976744186]"
"weighted_f1: 0.9913 ± 0.0000 [0.9912881830762481, 0.9912881830762481, 0.9912881830762481]","weighted_f1: 0.9923 ± 0.0014 [0.9912881830762481, 0.9912881830762481, 0.994192122050832]"
"accuracy: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","accuracy: 0.9923 ± 0.0014 [0.9912917271407837, 0.9912917271407837, 0.9941944847605225]"
,
tcfd_recommendations:,tcfd_recommendations:
"micro_f1: 0.7158 ± 0.0131 [0.7225, 0.7275, 0.6975]","micro_f1: 0.7208 ± 0.0062 [0.7225, 0.7275, 0.7125]"
"macro_f1: 0.6410 ± 0.0222 [0.6501872589287949, 0.6623270073887044, 0.6104323285888281]","macro_f1: 0.6524 ± 0.0074 [0.6501872589287949, 0.6623270073887044, 0.6445860243869885]"
"weighted_f1: 0.7076 ± 0.0148 [0.7138284617735691, 0.721819499225283, 0.6872318712903847]","weighted_f1: 0.7149 ± 0.0052 [0.7138284617735691, 0.721819499225283, 0.7091665432564982]"
"accuracy: 0.7158 ± 0.0131 [0.7225, 0.7275, 0.6975]","accuracy: 0.7208 ± 0.0062 [0.7225, 0.7275, 0.7125]"
,
water_forest_biodiversity_nature:,water_forest_biodiversity_nature:
"micro_f1: 0.9750 ± 0.0008 [0.9758919961427194, 0.9740134744947064, 0.9751434034416826]","micro_f1: 0.9746 ± 0.0009 [0.9758919961427194, 0.9740134744947064, 0.973963355834137]"
"macro_f1: 0.9731 ± 0.0007 [0.9732216655176679, 0.9722058384148842, 0.9739355289744329]","macro_f1: 0.9727 ± 0.0004 [0.9732216655176679, 0.9722058384148842, 0.9727800501601975]"
"weighted_f1: 0.9749 ± 0.0008 [0.9757808229872557, 0.9738970669805612, 0.9751125497160862]","weighted_f1: 0.9745 ± 0.0009 [0.9757808229872557, 0.9738970669805612, 0.9739657232613275]"
,
wximpactbench:,wximpactbench:
"micro_f1: 0.5446 ± 0.0169 [0.5517241379310345, 0.5607476635514018, 0.5212765957446809]","micro_f1: 0.5686 ± 0.0179 [0.5517241379310345, 0.5607476635514018, 0.5933014354066986]"
"macro_f1: 0.3368 ± 0.0529 [0.36198761286155, 0.38511102063423075, 0.2631519274376417]","macro_f1: 0.3792 ± 0.0123 [0.36198761286155, 0.38511102063423075, 0.39037532728335744]"
"weighted_f1: 0.4939 ± 0.0384 [0.5096182287969828, 0.5309610843972414, 0.44104683195592287]","weighted_f1: 0.5282 ± 0.0142 [0.5096182287969828, 0.5309610843972414, 0.5439564737031511]"
