Test,Model_A,Model_B,Task,Metric,N,Mean_A,Mean_B,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction,Sig_0.05,Sig_0.10
SYN_ablation,MARK,MARK+SYN,clim_retrieve,f1,10,0.8551,0.8612,+0.0061,0.3061,0.2604,0.34,mixed,No,No
SYN_ablation,MARK,MARK+SYN,climate_commitments_actions,f1,10,0.7176,0.6789,-0.0388,0.0000,0.0020,-3.20,all_B<A,Yes,Yes
SYN_ablation,MARK,MARK+SYN,climate_detection,f1,10,0.9319,0.9397,+0.0079,0.0117,0.0195,1.00,mixed,Yes,Yes
SYN_ablation,MARK,MARK+SYN,climate_specificity,f1,10,0.6894,0.6765,-0.0129,0.0679,0.1309,-0.66,mixed,No,Yes
SYN_ablation,MARK,MARK+SYN,climate_sentiment,macro_f1,10,0.7738,0.7695,-0.0044,0.4340,0.5566,-0.26,mixed,No,No
SYN_ablation,MARK,MARK+SYN,netzero_reduction,macro_f1,10,0.9847,0.9822,-0.0025,0.5146,0.6250,-0.21,mixed,No,No
SYN_ablation,MARK,MARK+SYN,tcfd_recommendations,macro_f1,10,0.5900,0.6143,+0.0243,0.0000,0.0020,2.32,all_B>A,Yes,Yes
SYN_ablation,MARK,MARK+SYN,water_forest_biodiversity_nature,macro_f1,10,0.9702,0.9663,-0.0039,0.0570,0.0840,-0.69,mixed,No,Yes
SYN_ablation,MARK,MARK+SYN,wximpactbench,macro_f1,10,0.2608,0.2476,-0.0132,0.2514,0.1602,-0.39,mixed,No,No
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,clim_retrieve,f1,10,0.8106,0.8324,+0.0218,0.6596,0.7695,0.14,mixed,No,No
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,climate_commitments_actions,f1,10,0.6870,0.6608,-0.0262,0.0160,0.0371,-0.93,mixed,Yes,Yes
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,climate_detection,f1,10,0.9364,0.9323,-0.0041,0.1846,0.3750,-0.45,mixed,No,No
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,climate_specificity,f1,10,0.6733,0.6950,+0.0217,0.0013,0.0020,1.45,all_B>A,Yes,Yes
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,climate_sentiment,macro_f1,10,0.7714,0.7805,+0.0091,0.0073,0.0059,1.09,mixed,Yes,Yes
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,netzero_reduction,macro_f1,10,0.9797,0.9885,+0.0087,0.0650,0.0840,0.66,mixed,No,Yes
SYN_ablation_LRD,MARK+LRD,MARK+SYN+LRD,tcfd_recommendations,macro_f1,10,0.6131,0.6128,-0.0002,0.9570,0.9219,-0.02,mixed,No,No
