Comparison,Task,Metric,Without FWEdu,With FWEdu,Delta (FWEdu effect)
Adding FWEdu to MARK+SYN,clim_retrieve,f1,0.8599,0.8596,-0.0003
Adding FWEdu to MARK+SYN,climate_commitments_actions,f1,0.6524,0.6709,+0.0185
Adding FWEdu to MARK+SYN,climate_detection,f1,0.9351,0.9501,+0.0150
Adding FWEdu to MARK+SYN,climate_specificity,f1,0.6804,0.6998,+0.0194
Adding FWEdu to MARK+SYN,climate_sentiment,macro_f1,0.7175,0.7488,+0.0313
Adding FWEdu to MARK+SYN,netzero_reduction,macro_f1,0.9869,0.9896,+0.0027
Adding FWEdu to MARK+SYN,tcfd_recommendations,macro_f1,0.6004,0.5895,-0.0109
Adding FWEdu to MARK+SYN,water_forest_biodiversity_nature,macro_f1,0.9721,0.9625,-0.0096
Adding FWEdu to MARK+SYN,wximpactbench,macro_f1,0.2002,0.1895,-0.0107
Adding FWEdu to MARK+SYN+LRD,clim_retrieve,f1,0.8604,0.8641,+0.0037
Adding FWEdu to MARK+SYN+LRD,climate_commitments_actions,f1,0.6748,0.5912,-0.0836
Adding FWEdu to MARK+SYN+LRD,climate_detection,f1,0.9326,0.9507,+0.0181
Adding FWEdu to MARK+SYN+LRD,climate_specificity,f1,0.6869,0.7110,+0.0241
Adding FWEdu to MARK+SYN+LRD,climate_sentiment,macro_f1,0.7312,0.7392,+0.0080
Adding FWEdu to MARK+SYN+LRD,netzero_reduction,macro_f1,0.9898,0.9851,-0.0047
Adding FWEdu to MARK+SYN+LRD,tcfd_recommendations,macro_f1,0.5953,0.6235,+0.0282
Adding FWEdu to MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,0.9636,0.9732,+0.0096
Adding FWEdu to MARK+SYN+LRD,wximpactbench,macro_f1,0.1947,0.2435,+0.0488
Adding FWEdu to MARK+SYN+ZYDA,clim_retrieve,f1,0.8580,0.8292,-0.0288
Adding FWEdu to MARK+SYN+ZYDA,climate_commitments_actions,f1,0.6845,0.6564,-0.0281
Adding FWEdu to MARK+SYN+ZYDA,climate_detection,f1,0.9356,0.9473,+0.0117
Adding FWEdu to MARK+SYN+ZYDA,climate_specificity,f1,0.6891,0.7074,+0.0183
Adding FWEdu to MARK+SYN+ZYDA,climate_sentiment,macro_f1,0.7477,0.7534,+0.0057
Adding FWEdu to MARK+SYN+ZYDA,netzero_reduction,macro_f1,0.9886,0.9830,-0.0056
Adding FWEdu to MARK+SYN+ZYDA,tcfd_recommendations,macro_f1,0.5988,0.5922,-0.0066
Adding FWEdu to MARK+SYN+ZYDA,water_forest_biodiversity_nature,macro_f1,0.9650,0.9676,+0.0026
Adding FWEdu to MARK+SYN+ZYDA,wximpactbench,macro_f1,0.1924,0.1970,+0.0046
