Comparison,Task,Metric,Without LRD,With LRD,Delta (LRD effect)
Adding LRD to MARK,clim_retrieve,f1,0.8556,0.8579,+0.0023
Adding LRD to MARK,climate_commitments_actions,f1,0.6956,0.6986,+0.0030
Adding LRD to MARK,climate_detection,f1,0.9270,0.9381,+0.0111
Adding LRD to MARK,climate_specificity,f1,0.6507,0.6796,+0.0289
Adding LRD to MARK,climate_sentiment,macro_f1,0.7673,0.7505,-0.0168
Adding LRD to MARK,netzero_reduction,macro_f1,0.9851,0.9814,-0.0037
Adding LRD to MARK,tcfd_recommendations,macro_f1,0.5869,0.5985,+0.0116
Adding LRD to MARK,water_forest_biodiversity_nature,macro_f1,0.9725,0.9618,-0.0107
Adding LRD to MARK,wximpactbench,macro_f1,0.2461,0.2697,+0.0236
Adding LRD to SYN,clim_retrieve,f1,0.8596,0.8751,+0.0155
Adding LRD to SYN,climate_commitments_actions,f1,0.6629,0.6637,+0.0008
Adding LRD to SYN,climate_detection,f1,0.9429,0.9378,-0.0051
Adding LRD to SYN,climate_specificity,f1,0.6856,0.6937,+0.0081
Adding LRD to SYN,climate_sentiment,macro_f1,0.7702,0.7476,-0.0226
Adding LRD to SYN,netzero_reduction,macro_f1,0.9820,0.9904,+0.0084
Adding LRD to SYN,tcfd_recommendations,macro_f1,0.6098,0.6111,+0.0013
Adding LRD to SYN,water_forest_biodiversity_nature,macro_f1,0.9592,0.9651,+0.0059
Adding LRD to SYN,wximpactbench,macro_f1,0.2240,0.2498,+0.0258
Adding LRD to MARK+SYN,clim_retrieve,f1,0.8599,0.8604,+0.0005
Adding LRD to MARK+SYN,climate_commitments_actions,f1,0.6524,0.6748,+0.0224
Adding LRD to MARK+SYN,climate_detection,f1,0.9351,0.9326,-0.0025
Adding LRD to MARK+SYN,climate_specificity,f1,0.6804,0.6869,+0.0065
Adding LRD to MARK+SYN,climate_sentiment,macro_f1,0.7175,0.7312,+0.0137
Adding LRD to MARK+SYN,netzero_reduction,macro_f1,0.9869,0.9898,+0.0029
Adding LRD to MARK+SYN,tcfd_recommendations,macro_f1,0.6004,0.5953,-0.0051
Adding LRD to MARK+SYN,water_forest_biodiversity_nature,macro_f1,0.9721,0.9636,-0.0085
Adding LRD to MARK+SYN,wximpactbench,macro_f1,0.2002,0.1947,-0.0055
Adding LRD to FWEdu,clim_retrieve,f1,0.8539,0.8418,-0.0121
Adding LRD to FWEdu,climate_commitments_actions,f1,0.6480,0.6796,+0.0316
Adding LRD to FWEdu,climate_detection,f1,0.9447,0.9535,+0.0088
Adding LRD to FWEdu,climate_specificity,f1,0.6802,0.6951,+0.0149
Adding LRD to FWEdu,climate_sentiment,macro_f1,0.7629,0.7693,+0.0064
Adding LRD to FWEdu,netzero_reduction,macro_f1,0.9916,0.9892,-0.0024
Adding LRD to FWEdu,tcfd_recommendations,macro_f1,0.5910,0.5959,+0.0049
Adding LRD to FWEdu,water_forest_biodiversity_nature,macro_f1,0.9722,0.9710,-0.0012
Adding LRD to FWEdu,wximpactbench,macro_f1,0.2337,0.2032,-0.0305
Adding LRD to FWEdu+MARK+SYN,clim_retrieve,f1,0.8596,0.8641,+0.0045
Adding LRD to FWEdu+MARK+SYN,climate_commitments_actions,f1,0.6709,0.5912,-0.0797
Adding LRD to FWEdu+MARK+SYN,climate_detection,f1,0.9501,0.9507,+0.0006
Adding LRD to FWEdu+MARK+SYN,climate_specificity,f1,0.6998,0.7110,+0.0112
Adding LRD to FWEdu+MARK+SYN,climate_sentiment,macro_f1,0.7488,0.7392,-0.0096
Adding LRD to FWEdu+MARK+SYN,netzero_reduction,macro_f1,0.9896,0.9851,-0.0045
Adding LRD to FWEdu+MARK+SYN,tcfd_recommendations,macro_f1,0.5895,0.6235,+0.0340
Adding LRD to FWEdu+MARK+SYN,water_forest_biodiversity_nature,macro_f1,0.9625,0.9732,+0.0107
Adding LRD to FWEdu+MARK+SYN,wximpactbench,macro_f1,0.1895,0.2435,+0.0540
Adding LRD to FWEdu+MARK+SYN+ZYDA,clim_retrieve,f1,0.8292,0.8588,+0.0296
Adding LRD to FWEdu+MARK+SYN+ZYDA,climate_commitments_actions,f1,0.6564,0.6456,-0.0108
Adding LRD to FWEdu+MARK+SYN+ZYDA,climate_detection,f1,0.9473,0.9601,+0.0128
Adding LRD to FWEdu+MARK+SYN+ZYDA,climate_specificity,f1,0.7074,0.7015,-0.0059
Adding LRD to FWEdu+MARK+SYN+ZYDA,climate_sentiment,macro_f1,0.7534,0.7375,-0.0159
Adding LRD to FWEdu+MARK+SYN+ZYDA,netzero_reduction,macro_f1,0.9830,0.9886,+0.0056
Adding LRD to FWEdu+MARK+SYN+ZYDA,tcfd_recommendations,macro_f1,0.5922,0.6291,+0.0369
Adding LRD to FWEdu+MARK+SYN+ZYDA,water_forest_biodiversity_nature,macro_f1,0.9676,0.9442,-0.0234
Adding LRD to FWEdu+MARK+SYN+ZYDA,wximpactbench,macro_f1,0.1970,0.2399,+0.0429
