Merge_method,Task,Metric,Merge_mean,Best_component,Best_component_mean,Delta_vs_best_component,Joint_FWEdu+MARK+SYN+LRD,Delta_vs_joint,Joint_FWEdu+MARK+SYN+ZYDA+LRD,Delta_vs_joint_ZYDA
Merge_avg,clim_retrieve,f1,0.8355,SYN+LRD,0.8751,-0.0396,0.8641,-0.0287,0.8588,-0.0233
Merge_avg,climate_commitments_actions,f1,0.6653,MARK+LRD,0.6870,-0.0217,0.5912,+0.0741,0.6456,+0.0197
Merge_avg,climate_detection,f1,0.9540,FWEdu+LRD,0.9535,+0.0005,0.9507,+0.0033,0.9601,-0.0061
Merge_avg,climate_specificity,f1,0.7093,FWEdu+LRD,0.6951,+0.0142,0.7110,-0.0016,0.7015,+0.0078
Merge_avg,climate_sentiment,macro_f1,0.7668,MARK+LRD,0.7714,-0.0045,0.7392,+0.0277,0.7375,+0.0293
Merge_avg,environmental_claims,f1,0.8376,MARK+LRD,0.8254,+0.0122,,,,
Merge_avg,netzero_reduction,macro_f1,0.9892,SYN+LRD,0.9904,-0.0012,0.9851,+0.0041,0.9886,+0.0006
Merge_avg,tcfd_recommendations,macro_f1,0.6410,MARK+LRD,0.6131,+0.0279,0.6235,+0.0175,0.6291,+0.0119
Merge_avg,water_forest_biodiversity_nature,macro_f1,0.9731,FWEdu+LRD,0.9710,+0.0021,0.9732,-0.0001,0.9442,+0.0289
Merge_avg,wximpactbench,macro_f1,0.3368,MARK+LRD,0.2524,+0.0843,0.2435,+0.0932,0.2399,+0.0969
DARE_TIES_D05,clim_retrieve,f1,0.8634,SYN+LRD,0.8751,-0.0116,0.8641,-0.0007,0.8588,+0.0046
DARE_TIES_D05,climate_commitments_actions,f1,0.6720,MARK+LRD,0.6870,-0.0150,0.5912,+0.0808,0.6456,+0.0264
DARE_TIES_D05,climate_detection,f1,0.9480,FWEdu+LRD,0.9535,-0.0055,0.9507,-0.0026,0.9601,-0.0121
DARE_TIES_D05,climate_specificity,f1,0.6919,FWEdu+LRD,0.6951,-0.0032,0.7110,-0.0191,0.7015,-0.0096
DARE_TIES_D05,climate_sentiment,macro_f1,0.7829,MARK+LRD,0.7714,+0.0115,0.7392,+0.0437,0.7375,+0.0454
DARE_TIES_D05,environmental_claims,f1,0.8406,MARK+LRD,0.8254,+0.0152,,,,
DARE_TIES_D05,netzero_reduction,macro_f1,0.9886,SYN+LRD,0.9904,-0.0018,0.9851,+0.0035,0.9886,+0.0000
DARE_TIES_D05,tcfd_recommendations,macro_f1,0.5784,MARK+LRD,0.6131,-0.0347,0.6235,-0.0452,0.6291,-0.0507
DARE_TIES_D05,water_forest_biodiversity_nature,macro_f1,0.9712,FWEdu+LRD,0.9710,+0.0002,0.9732,-0.0021,0.9442,+0.0269
DARE_TIES_D05,wximpactbench,macro_f1,0.2685,MARK+LRD,0.2524,+0.0160,0.2435,+0.0249,0.2399,+0.0286
DARE_TIES_D07,clim_retrieve,f1,0.8549,SYN+LRD,0.8751,-0.0202,0.8641,-0.0093,0.8588,-0.0039
DARE_TIES_D07,climate_commitments_actions,f1,0.6332,MARK+LRD,0.6870,-0.0538,0.5912,+0.0420,0.6456,-0.0125
DARE_TIES_D07,climate_detection,f1,0.9473,FWEdu+LRD,0.9535,-0.0062,0.9507,-0.0034,0.9601,-0.0129
DARE_TIES_D07,climate_specificity,f1,0.6764,FWEdu+LRD,0.6951,-0.0187,0.7110,-0.0346,0.7015,-0.0251
DARE_TIES_D07,climate_sentiment,macro_f1,0.7405,MARK+LRD,0.7714,-0.0308,0.7392,+0.0013,0.7375,+0.0030
DARE_TIES_D07,environmental_claims,f1,0.8507,MARK+LRD,0.8254,+0.0253,,,,
DARE_TIES_D07,netzero_reduction,macro_f1,0.9892,SYN+LRD,0.9904,-0.0012,0.9851,+0.0041,0.9886,+0.0006
DARE_TIES_D07,tcfd_recommendations,macro_f1,0.6155,MARK+LRD,0.6131,+0.0024,0.6235,-0.0080,0.6291,-0.0136
DARE_TIES_D07,water_forest_biodiversity_nature,macro_f1,0.9696,FWEdu+LRD,0.9710,-0.0013,0.9732,-0.0036,0.9442,+0.0254
DARE_TIES_D07,wximpactbench,macro_f1,0.2617,MARK+LRD,0.2524,+0.0093,0.2435,+0.0182,0.2399,+0.0218
TA_Lambda05,clim_retrieve,f1,0.8094,SYN+LRD,0.8751,-0.0656,0.8641,-0.0547,0.8588,-0.0494
TA_Lambda05,climate_commitments_actions,f1,0.6751,MARK+LRD,0.6870,-0.0118,0.5912,+0.0839,0.6456,+0.0295
TA_Lambda05,climate_detection,f1,0.9466,FWEdu+LRD,0.9535,-0.0069,0.9507,-0.0041,0.9601,-0.0135
TA_Lambda05,climate_specificity,f1,0.6785,FWEdu+LRD,0.6951,-0.0166,0.7110,-0.0325,0.7015,-0.0230
TA_Lambda05,climate_sentiment,macro_f1,0.7101,MARK+LRD,0.7714,-0.0613,0.7392,-0.0291,0.7375,-0.0275
TA_Lambda05,environmental_claims,f1,0.8345,MARK+LRD,0.8254,+0.0091,,,,
TA_Lambda05,netzero_reduction,macro_f1,0.9910,SYN+LRD,0.9904,+0.0006,0.9851,+0.0059,0.9886,+0.0024
TA_Lambda05,tcfd_recommendations,macro_f1,0.6034,MARK+LRD,0.6131,-0.0097,0.6235,-0.0201,0.6291,-0.0257
TA_Lambda05,water_forest_biodiversity_nature,macro_f1,0.9583,FWEdu+LRD,0.9710,-0.0127,0.9732,-0.0150,0.9442,+0.0140
TA_Lambda05,wximpactbench,macro_f1,0.2484,MARK+LRD,0.2524,-0.0041,0.2435,+0.0048,0.2399,+0.0085
TA_Lambda10,clim_retrieve,f1,0.8495,SYN+LRD,0.8751,-0.0256,0.8641,-0.0147,0.8588,-0.0093
TA_Lambda10,climate_commitments_actions,f1,0.7118,MARK+LRD,0.6870,+0.0248,0.5912,+0.1206,0.6456,+0.0661
TA_Lambda10,climate_detection,f1,0.9488,FWEdu+LRD,0.9535,-0.0047,0.9507,-0.0019,0.9601,-0.0113
TA_Lambda10,climate_specificity,f1,0.6845,FWEdu+LRD,0.6951,-0.0106,0.7110,-0.0265,0.7015,-0.0170
TA_Lambda10,climate_sentiment,macro_f1,0.7696,MARK+LRD,0.7714,-0.0018,0.7392,+0.0304,0.7375,+0.0321
TA_Lambda10,environmental_claims,f1,0.8148,MARK+LRD,0.8254,-0.0106,,,,
TA_Lambda10,netzero_reduction,macro_f1,0.9916,SYN+LRD,0.9904,+0.0012,0.9851,+0.0065,0.9886,+0.0030
TA_Lambda10,tcfd_recommendations,macro_f1,0.6134,MARK+LRD,0.6131,+0.0003,0.6235,-0.0101,0.6291,-0.0157
