Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
Merge_avg,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8355,-0.0055,0.7662,1.0000,-0.20,mixed
Merge_avg,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.6653,-0.0357,0.3647,0.5000,-0.67,mixed
Merge_avg,MARK+LRD,climate_detection,f1,3,0.9363,0.9540,+0.0177,0.0184,0.2500,4.20,all_B>A
Merge_avg,MARK+LRD,climate_specificity,f1,3,0.6655,0.7093,+0.0439,0.1276,0.2500,1.46,all_B>A
Merge_avg,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7668,-0.0099,0.5062,0.5000,-0.46,mixed
Merge_avg,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9892,+0.0185,0.1620,0.2500,1.25,all_B>A
Merge_avg,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.6410,+0.0304,0.2498,0.5000,0.93,mixed
Merge_avg,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9731,+0.0037,0.0685,0.2500,2.09,all_B>A
Merge_avg,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.3368,+0.0794,0.1457,0.2500,1.34,all_B>A
Merge_avg,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8355,-0.0063,0.7949,0.7500,-0.17,mixed
Merge_avg,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.6653,-0.0143,0.6420,0.7500,-0.31,mixed
Merge_avg,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9540,+0.0005,0.9110,0.7500,0.07,mixed
Merge_avg,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.7093,+0.0142,0.3117,0.5000,0.77,mixed
Merge_avg,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7668,-0.0024,0.7745,0.7500,-0.19,mixed
Merge_avg,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9892,+0.0000,NaN,NaN,nan,identical
Merge_avg,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.6410,+0.0451,0.0545,0.2500,2.37,all_B>A
Merge_avg,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9731,+0.0021,0.3064,0.2500,0.79,all_B>A
Merge_avg,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.3368,+0.1336,0.0130,0.2500,5.01,all_B>A
Merge_avg,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8355,-0.0396,0.2548,0.5000,-0.91,mixed
Merge_avg,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.6653,+0.0016,0.9740,1.0000,0.02,mixed
Merge_avg,SYN+LRD,climate_detection,f1,3,0.9378,0.9540,+0.0162,0.0571,0.2500,2.31,all_B>A
Merge_avg,SYN+LRD,climate_specificity,f1,3,0.6937,0.7093,+0.0156,0.4794,0.7500,0.50,mixed
Merge_avg,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7668,+0.0193,0.5260,0.7500,0.44,mixed
Merge_avg,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9892,-0.0012,0.1835,0.1573,-1.15,mixed
Merge_avg,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.6410,+0.0299,0.1657,0.2500,1.24,all_B>A
Merge_avg,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9731,+0.0080,0.0678,0.2500,2.10,all_B>A
Merge_avg,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.3368,+0.0869,0.1128,0.2500,1.57,all_B>A
DARE_TIES_D05,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8634,+0.0225,0.5191,0.7500,0.45,mixed
DARE_TIES_D05,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.6720,-0.0291,0.0434,0.2500,-2.68,all_B<A
DARE_TIES_D05,MARK+LRD,climate_detection,f1,3,0.9363,0.9480,+0.0117,0.0287,0.2500,3.33,all_B>A
DARE_TIES_D05,MARK+LRD,climate_specificity,f1,3,0.6655,0.6919,+0.0264,0.0158,0.2500,4.54,all_B>A
DARE_TIES_D05,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7829,+0.0061,0.4261,0.5000,0.57,mixed
DARE_TIES_D05,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9886,+0.0179,0.1343,0.2500,1.41,all_B>A
DARE_TIES_D05,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.5784,-0.0322,0.1406,0.2500,-1.37,all_B<A
DARE_TIES_D05,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9712,+0.0017,0.1973,0.2500,1.10,all_B>A
DARE_TIES_D05,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2685,+0.0111,0.6720,0.7500,0.28,mixed
DARE_TIES_D05,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8634,+0.0217,0.4199,0.5000,0.58,mixed
DARE_TIES_D05,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.6720,-0.0076,0.6300,0.5000,-0.33,mixed
DARE_TIES_D05,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9480,-0.0055,0.1057,0.2500,-1.63,all_B<A
DARE_TIES_D05,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.6919,-0.0032,0.8292,1.0000,-0.14,mixed
DARE_TIES_D05,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7829,+0.0136,0.0208,0.2500,3.94,all_B>A
DARE_TIES_D05,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9886,-0.0006,0.6694,1.0000,-0.29,mixed
DARE_TIES_D05,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.5784,-0.0175,0.0627,0.2500,-2.20,all_B<A
DARE_TIES_D05,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9712,+0.0002,0.9338,1.0000,0.05,mixed
DARE_TIES_D05,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2685,+0.0653,0.1493,0.2500,1.32,all_B>A
DARE_TIES_D05,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8634,-0.0116,0.4821,0.5000,-0.49,mixed
DARE_TIES_D05,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.6720,+0.0083,0.7336,0.7500,0.23,mixed
DARE_TIES_D05,SYN+LRD,climate_detection,f1,3,0.9378,0.9480,+0.0102,0.0004,0.2500,28.38,all_B>A
DARE_TIES_D05,SYN+LRD,climate_specificity,f1,3,0.6937,0.6919,-0.0018,0.7433,0.7500,-0.22,mixed
DARE_TIES_D05,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7829,+0.0353,0.2180,0.5000,1.02,mixed
DARE_TIES_D05,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9886,-0.0018,0.2257,0.1797,-1.00,mixed
DARE_TIES_D05,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.5784,-0.0327,0.0511,0.2500,-2.45,all_B<A
DARE_TIES_D05,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9712,+0.0061,0.0769,0.2500,1.96,all_B>A
DARE_TIES_D05,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2685,+0.0187,0.6108,0.5000,0.34,mixed
DARE_TIES_D07,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8549,+0.0139,0.4927,0.7500,0.48,mixed
DARE_TIES_D07,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.6332,-0.0679,0.0040,0.2500,-9.08,all_B<A
