Merge_method,Joint_baseline,Task,Metric,N,Mean_Joint,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
Merge_avg,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8355,-0.0287,0.1873,0.2500,-1.14,all_B<A
Merge_avg,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.6653,+0.0741,0.1784,0.2500,1.18,all_B>A
Merge_avg,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9540,+0.0033,0.4851,0.7500,0.49,mixed
Merge_avg,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.7093,-0.0016,0.8843,1.0000,-0.10,mixed
Merge_avg,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7668,+0.0277,0.2620,0.2500,0.89,all_B>A
Merge_avg,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9892,+0.0041,0.2370,0.2500,0.96,all_B>A
Merge_avg,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.6410,+0.0175,0.0173,0.2500,4.34,all_B>A
Merge_avg,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9731,-0.0001,0.9316,1.0000,-0.06,mixed
Merge_avg,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.3368,+0.0932,0.0024,0.2500,11.83,all_B>A
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8355,-0.0233,0.2336,0.2500,-0.97,all_B<A
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,climate_commitments_actions,f1,3,0.6456,0.6653,+0.0197,0.5904,1.0000,0.37,mixed
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,climate_detection,f1,3,0.9601,0.9540,-0.0061,0.4167,0.5000,-0.59,mixed
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,climate_specificity,f1,3,0.7015,0.7093,+0.0078,0.7881,1.0000,0.18,mixed
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,climate_sentiment,macro_f1,3,0.7375,0.7668,+0.0293,0.0580,0.2500,2.29,all_B>A
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9892,+0.0006,0.6670,1.0000,0.29,mixed
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.6410,+0.0119,0.2236,0.5000,1.01,mixed
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9731,+0.0289,0.0657,0.2500,2.14,all_B>A
Merge_avg,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.3368,+0.0969,0.0046,0.2500,8.53,all_B>A
Merge_avg,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8355,+0.0096,0.8194,0.7500,0.15,mixed
Merge_avg,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.6653,+0.0017,0.9593,1.0000,0.03,mixed
Merge_avg,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9540,+0.0247,0.1360,0.2500,1.40,all_B>A
Merge_avg,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.7093,+0.0082,0.5909,0.5000,0.37,mixed
Merge_avg,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7668,-0.0139,0.3150,0.5000,-0.77,mixed
Merge_avg,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9892,-0.0006,0.4226,0.3173,-0.58,mixed
Merge_avg,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.6410,+0.0308,0.2107,0.2500,1.05,all_B>A
Merge_avg,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9731,+0.0090,0.0362,0.2500,2.95,all_B>A
Merge_avg,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.3368,+0.0896,0.0868,0.2500,1.83,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8634,-0.0007,0.9422,1.0000,-0.05,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.6720,+0.0808,0.0392,0.2500,2.83,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9480,-0.0026,0.3047,0.1797,-0.79,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.6919,-0.0191,0.1724,0.2500,-1.20,all_B<A
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7829,+0.0437,0.0398,0.2500,2.81,all_B>A
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9886,+0.0035,0.2481,0.5000,0.93,mixed
DARE_TIES_D05,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.5784,-0.0452,0.0228,0.2500,-3.75,all_B<A
