Rank,Model,Tasks_covered,Avg_delta_vs_BASE
1,Merge_avg,9,+0.0288
2,TA_Lambda10,9,+0.0223
3,TIES_D07,9,+0.0214
4,TIES_D05,9,+0.0194
5,MARK,9,+0.0180
6,DARE_TIES_D05,9,+0.0170
7,MARK+SYN,9,+0.0138
8,SYN+LRD,9,+0.0136
9,SYN+ZYDA,9,+0.0118
10,MARK+SYN+LRD,9,+0.0106
11,FWEdu+MARK+SYN+ZYDA+LRD,9,+0.0104
12,FWEdu+LRD,9,+0.0096
13,SYN,9,+0.0094
14,MARK+LRD,9,+0.0091
15,DARE_TIES_D07,9,+0.0085
16,FWEdu+MARK+SYN+LRD,9,+0.0078
17,FWEdu,9,+0.0074
18,FWEdu+MARK+SYN,9,+0.0054
19,MARK+SYN+ZYDA,9,+0.0053
20,FWEdu+MARK+SYN+ZYDA,9,+0.0024
21,TA_Lambda05,9,+0.0010
