Task,Metric,Rank,Model,N_seeds,Mean,Std,Delta_from_BASE
clim_retrieve,f1,1,SYN+LRD,3,0.8751,0.0257,+0.0086
clim_retrieve,f1,2,BASE,3,0.8665,0.0234,+0.0000
clim_retrieve,f1,3,SYN+ZYDA,3,0.8647,0.0234,-0.0018
clim_retrieve,f1,4,FWEdu+MARK+SYN+LRD,3,0.8641,0.0168,-0.0024
clim_retrieve,f1,5,DARE_TIES_D05,3,0.8634,0.0112,-0.0031
clim_retrieve,f1,6,MARK+SYN,10,0.8612,0.0198,-0.0053
clim_retrieve,f1,7,TIES_D05,3,0.8609,0.0175,-0.0056
clim_retrieve,f1,8,SYN,3,0.8596,0.0146,-0.0069
clim_retrieve,f1,9,FWEdu+MARK+SYN,3,0.8596,0.0122,-0.0069
clim_retrieve,f1,10,FWEdu+MARK+SYN+ZYDA+LRD,3,0.8588,0.0060,-0.0077
clim_retrieve,f1,11,MARK+SYN+ZYDA,3,0.8580,0.0076,-0.0085
clim_retrieve,f1,12,MARK,10,0.8551,0.0109,-0.0114
clim_retrieve,f1,13,DARE_TIES_D07,3,0.8549,0.0108,-0.0116
clim_retrieve,f1,14,FWEdu,3,0.8539,0.0118,-0.0126
clim_retrieve,f1,15,TIES_D07,3,0.8509,0.0338,-0.0156
clim_retrieve,f1,16,TA_Lambda10,3,0.8495,0.0048,-0.0171
clim_retrieve,f1,17,FWEdu+LRD,3,0.8418,0.0305,-0.0247
clim_retrieve,f1,18,Merge_avg,3,0.8355,0.0199,-0.0311
clim_retrieve,f1,19,MARK+SYN+LRD,10,0.8324,0.0428,-0.0341
clim_retrieve,f1,20,FWEdu+MARK+SYN+ZYDA,3,0.8292,0.0260,-0.0373
clim_retrieve,f1,21,MARK+LRD,10,0.8106,0.1277,-0.0559
clim_retrieve,f1,22,TA_Lambda05,3,0.8094,0.0696,-0.0571
climate_commitments_actions,f1,1,TIES_D07,3,0.7186,0.0327,+0.0599
climate_commitments_actions,f1,2,MARK,10,0.7176,0.0115,+0.0589
climate_commitments_actions,f1,3,TA_Lambda10,3,0.7118,0.0142,+0.0531
climate_commitments_actions,f1,4,MARK+LRD,10,0.6870,0.0225,+0.0282
climate_commitments_actions,f1,5,MARK+SYN+ZYDA,3,0.6845,0.0069,+0.0258
climate_commitments_actions,f1,6,FWEdu+LRD,3,0.6796,0.0199,+0.0209
climate_commitments_actions,f1,7,MARK+SYN,10,0.6789,0.0143,+0.0202
climate_commitments_actions,f1,8,TIES_D05,3,0.6755,0.0301,+0.0168
climate_commitments_actions,f1,9,TA_Lambda05,3,0.6751,0.0216,+0.0164
climate_commitments_actions,f1,10,DARE_TIES_D05,3,0.6720,0.0048,+0.0133
climate_commitments_actions,f1,11,FWEdu+MARK+SYN,3,0.6709,0.0157,+0.0122
climate_commitments_actions,f1,12,SYN+ZYDA,3,0.6667,0.0081,+0.0080
climate_commitments_actions,f1,13,Merge_avg,3,0.6653,0.0453,+0.0066
climate_commitments_actions,f1,14,SYN+LRD,3,0.6637,0.0412,+0.0050
climate_commitments_actions,f1,15,SYN,3,0.6629,0.0179,+0.0042
climate_commitments_actions,f1,16,MARK+SYN+LRD,10,0.6608,0.0100,+0.0021
climate_commitments_actions,f1,17,BASE,3,0.6587,0.0155,+0.0000
climate_commitments_actions,f1,18,FWEdu+MARK+SYN+ZYDA,3,0.6564,0.0258,-0.0023
climate_commitments_actions,f1,19,FWEdu,3,0.6480,0.0418,-0.0107
climate_commitments_actions,f1,20,FWEdu+MARK+SYN+ZYDA+LRD,3,0.6456,0.0154,-0.0131
climate_commitments_actions,f1,21,DARE_TIES_D07,3,0.6332,0.0130,-0.0256
climate_commitments_actions,f1,22,FWEdu+MARK+SYN+LRD,3,0.5912,0.0279,-0.0675
climate_detection,f1,1,FWEdu+MARK+SYN+ZYDA+LRD,3,0.9601,0.0036,+0.0151
climate_detection,f1,2,Merge_avg,3,0.9540,0.0069,+0.0090
climate_detection,f1,3,FWEdu+LRD,3,0.9535,0.0002,+0.0085
climate_detection,f1,4,FWEdu+MARK+SYN+LRD,3,0.9507,0.0001,+0.0057
climate_detection,f1,5,FWEdu+MARK+SYN,3,0.9501,0.0009,+0.0050
climate_detection,f1,6,TIES_D07,3,0.9490,0.0010,+0.0039
climate_detection,f1,7,TA_Lambda10,3,0.9488,0.0058,+0.0038
climate_detection,f1,8,SYN+ZYDA,3,0.9485,0.0037,+0.0035
climate_detection,f1,9,DARE_TIES_D05,3,0.9480,0.0033,+0.0030
climate_detection,f1,10,FWEdu+MARK+SYN+ZYDA,3,0.9473,0.0128,+0.0023
climate_detection,f1,11,DARE_TIES_D07,3,0.9473,0.0018,+0.0022
climate_detection,f1,12,TA_Lambda05,3,0.9466,0.0046,+0.0016
climate_detection,f1,13,BASE,3,0.9450,0.0034,+0.0000
climate_detection,f1,14,FWEdu,3,0.9447,0.0039,-0.0004
climate_detection,f1,15,SYN,3,0.9429,0.0027,-0.0021
climate_detection,f1,16,MARK+SYN,10,0.9397,0.0065,-0.0053
climate_detection,f1,17,SYN+LRD,3,0.9378,0.0030,-0.0072
climate_detection,f1,18,MARK+LRD,10,0.9364,0.0020,-0.0086
climate_detection,f1,19,TIES_D05,3,0.9362,0.0078,-0.0088
climate_detection,f1,20,MARK+SYN+ZYDA,3,0.9356,0.0032,-0.0095
climate_detection,f1,21,MARK+SYN+LRD,10,0.9323,0.0084,-0.0127
climate_detection,f1,22,MARK,10,0.9319,0.0032,-0.0131
climate_specificity,f1,1,FWEdu+MARK+SYN+LRD,3,0.7110,0.0165,+0.0377
climate_specificity,f1,2,Merge_avg,3,0.7093,0.0250,+0.0361
climate_specificity,f1,3,FWEdu+MARK+SYN+ZYDA,3,0.7074,0.0120,+0.0341
climate_specificity,f1,4,TIES_D07,3,0.7066,0.0006,+0.0334
climate_specificity,f1,5,FWEdu+MARK+SYN+ZYDA+LRD,3,0.7015,0.0216,+0.0283
climate_specificity,f1,6,FWEdu+MARK+SYN,3,0.6998,0.0030,+0.0266
climate_specificity,f1,7,FWEdu+LRD,3,0.6951,0.0234,+0.0219
climate_specificity,f1,8,MARK+SYN+LRD,10,0.6950,0.0109,+0.0217
climate_specificity,f1,9,SYN+LRD,3,0.6937,0.0109,+0.0205
climate_specificity,f1,10,DARE_TIES_D05,3,0.6919,0.0026,+0.0187
climate_specificity,f1,11,MARK,10,0.6894,0.0171,+0.0162
