Comparison,Task,Metric,Without SYN,With SYN,Delta (SYN effect)
Adding SYN to MARK,clim_retrieve,f1,0.8556,0.8599,+0.0043
Adding SYN to MARK,climate_commitments_actions,f1,0.6956,0.6524,-0.0432
Adding SYN to MARK,climate_detection,f1,0.9270,0.9351,+0.0081
Adding SYN to MARK,climate_specificity,f1,0.6507,0.6804,+0.0297
Adding SYN to MARK,climate_sentiment,macro_f1,0.7673,0.7175,-0.0498
Adding SYN to MARK,netzero_reduction,macro_f1,0.9851,0.9869,+0.0018
Adding SYN to MARK,tcfd_recommendations,macro_f1,0.5869,0.6004,+0.0135
Adding SYN to MARK,water_forest_biodiversity_nature,macro_f1,0.9725,0.9721,-0.0004
Adding SYN to MARK,wximpactbench,macro_f1,0.2461,0.2002,-0.0459
Adding SYN to MARK+LRD,clim_retrieve,f1,0.8579,0.8604,+0.0025
Adding SYN to MARK+LRD,climate_commitments_actions,f1,0.6986,0.6748,-0.0238
Adding SYN to MARK+LRD,climate_detection,f1,0.9381,0.9326,-0.0055
Adding SYN to MARK+LRD,climate_specificity,f1,0.6796,0.6869,+0.0073
Adding SYN to MARK+LRD,climate_sentiment,macro_f1,0.7505,0.7312,-0.0193
Adding SYN to MARK+LRD,netzero_reduction,macro_f1,0.9814,0.9898,+0.0084
Adding SYN to MARK+LRD,tcfd_recommendations,macro_f1,0.5985,0.5953,-0.0032
Adding SYN to MARK+LRD,water_forest_biodiversity_nature,macro_f1,0.9618,0.9636,+0.0018
Adding SYN to MARK+LRD,wximpactbench,macro_f1,0.2697,0.1947,-0.0750
